Save: 187, Episode: 579/10000, Score: 1600.7676614369873, Epsilon: 0.9547292800009828, Play_time: 147, Spawn distance: 72.50571459922679
Save: 188, Episode: 580/10000, Score: 1534.493478651686, Epsilon: 0.9546461200009846, Play_time: 251, Spawn distance: 78.85124542054176
Save: 189, Episode: 581/10000, Score: 4516.756789365947, Epsilon: 0.9545946400009857, Play_time: 154, Spawn distance: 68.78777023004122
Save: 190, Episode: 587/10000, Score: 7602.084650018622, Epsilon: 0.9537894400010032, Play_time: 299, Spawn distance: 69.58422476240739
Save: 191, Episode: 590/10000, Score: 10593.358529946441, Epsilon: 0.9534198400010112, Play_time: 453, Spawn distance: 74.21930322771377
Save: 192, Episode: 592/10000, Score: 9661.843195607058, Epsilon: 0.9531479200010171, Play_time: 370, Spawn distance: 59.00399143868445
Save: 193, Episode: 593/10000, Score: 6188.968839738684, Epsilon: 0.9530779600010186, Play_time: 210, Spawn distance: 84.21595654569187
Save: 194, Episode: 594/10000, Score: 3599.049432522418, Epsilon: 0.9530291200010197, Play_time: 149, Spawn distance: 58.228462362526756
Save: 195, Episode: 595/10000, Score: 1913.347357218755, Epsilon: 0.9529789600010208, Play_time: 151, Spawn distance: 78.73600812483143
Save: 196, Episode: 596/10000, Score: 3996.526192917941, Epsilon: 0.9529156000010222, Play_time: 190, Spawn distance: 56.91536260873916
Save: 197, Episode: 598/10000, Score: 5613.380858665461, Epsilon: 0.9526172800010286, Play_time: 453, Spawn distance: 52.762302238786276
Save: 198, Episode: 601/10000, Score: 1971.681367157481, Epsilon: 0.9524285200010327, Play_time: 82, Spawn distance: 56.825843213033146
Save: 199, Episode: 603/10000, Score: 7451.773717578093, Epsilon: 0.952142080001039, Play_time: 415, Spawn distance: 84.54195176259407
Save: 200, Episode: 607/10000, Score: 6180.376321063371, Epsilon: 0.9516457600010497, Play_time: 210, Spawn distance: 58.188707343367454
Save: 201, Episode: 609/10000, Score: 1011.7390351381873, Epsilon: 0.9513685600010557, Play_time: 387, Spawn distance: 97.55728519896016
Save: 202, Episode: 610/10000, Score: 3403.244330257784, Epsilon: 0.951266920001058, Play_time: 306, Spawn distance: 58.575891682744505
Save: 203, Episode: 611/10000, Score: 3615.7599952545443, Epsilon: 0.9511177600010612, Play_time: 453, Spawn distance: 45.57164524265912
Save: 204, Episode: 612/10000, Score: 5347.90599271861, Epsilon: 0.9510530800010626, Play_time: 196, Spawn distance: 79.41302955766128
Save: 205, Episode: 613/10000, Score: 5808.894650365167, Epsilon: 0.9509329600010652, Play_time: 364, Spawn distance: 86.25031762093178
